user_id,course_id,interaction_type,rating_given
U276,C22,Enrolled,2.5
U827,C402,Viewed,3.8
U737,C79,Completed,4.1
U179,C113,Viewed,4.9
U48,C128,Completed,3.1
U802,C266,Enrolled,1.8
U150,C150,Completed,2.7
U926,C313,Viewed,2.5
U311,C390,Enrolled,3.2
U955,C308,Enrolled,3.2
U703,C127,Viewed,2.0
U38,C272,Completed,1.6
U240,C74,Completed,1.6
U450,C390,Completed,3.4
U64,C497,Completed,3.2
U451,C450,Completed,4.3
U260,C37,Completed,3.0
U719,C207,Completed,2.9
U793,C301,Completed,3.1
U867,C462,Viewed,1.3
U317,C353,Viewed,4.9
U78,C346,Enrolled,4.8
U234,C494,Completed,2.4
U258,C229,Enrolled,3.9
U743,C187,Completed,4.3
U496,C35,Completed,3.9
U553,C275,Viewed,2.1
U230,C287,Enrolled,2.9
U663,C270,Viewed,3.5
U238,C164,Enrolled,1.0
U439,C485,Completed,3.7
U733,C78,Enrolled,4.7
U521,C271,Enrolled,3.0
U948,C475,Viewed,2.0
U667,C402,Viewed,4.0
U209,C229,Completed,2.3
U532,C401,Viewed,3.9
U652,C56,Enrolled,3.4
U736,C75,Viewed,3.5
U463,C212,Completed,4.5
U329,C438,Enrolled,1.4
U501,C359,Enrolled,2.2
U473,C82,Viewed,4.6
U55,C308,Enrolled,3.8
U379,C3,Enrolled,1.8
U188,C149,Viewed,4.1
U352,C346,Viewed,2.3
U806,C80,Completed,1.1
U382,C140,Viewed,2.3
U823,C339,Enrolled,2.8
U40,C416,Viewed,1.5
U103,C422,Viewed,2.1
U63,C209,Enrolled,2.2
U365,C45,Enrolled,4.5
U931,C316,Completed,2.8
U380,C35,Enrolled,3.5
U691,C56,Completed,4.1
U816,C344,Viewed,5.0
U377,C345,Completed,3.9
U964,C268,Viewed,1.3
U479,C244,Viewed,3.2
U23,C235,Viewed,3.8
U338,C148,Viewed,4.0
U682,C355,Viewed,4.4
U853,C435,Viewed,1.7
U206,C234,Viewed,3.6
U690,C349,Viewed,1.4
U690,C393,Enrolled,2.0
U301,C210,Enrolled,4.6
U586,C174,Completed,3.6
U740,C376,Enrolled,3.0
U709,C34,Enrolled,1.8
U41,C253,Enrolled,3.1
U472,C42,Enrolled,3.1
U819,C5,Enrolled,3.4
U430,C205,Viewed,3.0
U240,C108,Viewed,2.7
U30,C439,Enrolled,4.3
U642,C255,Enrolled,3.8
U788,C93,Enrolled,4.2
U92,C405,Enrolled,3.9
U77,C208,Completed,4.0
U869,C489,Viewed,4.9
U739,C91,Viewed,2.1
U145,C478,Enrolled,2.9
U830,C427,Completed,4.6
U464,C48,Enrolled,4.7
U152,C396,Completed,4.5
U553,C188,Viewed,3.1
U359,C487,Completed,4.4
U74,C116,Enrolled,4.2
U928,C440,Enrolled,4.8
U752,C270,Completed,1.6
U540,C19,Completed,3.8
U216,C284,Enrolled,3.7
U360,C419,Viewed,2.5
U306,C258,Viewed,4.3
U680,C80,Enrolled,2.9
U371,C218,Enrolled,3.2
U85,C261,Completed,2.5
U759,C240,Completed,2.5
U958,C221,Viewed,3.8
U892,C118,Completed,4.3
U804,C97,Enrolled,3.0
U102,C140,Enrolled,2.6
U379,C382,Enrolled,2.4
U199,C295,Completed,4.2
U351,C252,Completed,3.8
U119,C475,Completed,4.1
U913,C15,Enrolled,3.6
U368,C373,Viewed,2.7
U128,C490,Completed,2.0
U351,C56,Viewed,4.8
U846,C411,Enrolled,3.6
U733,C201,Enrolled,2.5
U625,C245,Viewed,3.5
U509,C320,Viewed,2.1
U795,C188,Viewed,2.2
U655,C240,Viewed,4.3
U175,C261,Viewed,4.7
U740,C88,Enrolled,1.9
U517,C2,Enrolled,1.3
U655,C129,Enrolled,3.8
U511,C369,Completed,3.6
U495,C67,Viewed,3.5
U892,C298,Viewed,4.8
U462,C209,Viewed,4.3
U36,C330,Completed,4.1
U810,C432,Viewed,2.5
U627,C112,Viewed,4.2
U536,C187,Viewed,2.0
U70,C422,Viewed,3.9
U73,C188,Completed,2.0
U362,C60,Enrolled,3.2
U315,C441,Viewed,3.9
U567,C288,Enrolled,1.5
U260,C382,Completed,1.4
U620,C279,Viewed,1.0
U26,C125,Completed,3.9
U345,C206,Viewed,1.6
U686,C447,Enrolled,4.1
U332,C462,Enrolled,1.2
U577,C58,Viewed,1.7
U535,C186,Viewed,3.9
U478,C250,Completed,4.4
U656,C400,Completed,2.7
U381,C350,Enrolled,4.5
U208,C95,Viewed,3.8
U393,C250,Viewed,4.8
U204,C158,Viewed,3.5
U457,C178,Completed,1.7
U943,C478,Enrolled,4.4
U620,C347,Completed,3.8
U736,C344,Viewed,4.9
U982,C49,Completed,4.8
U751,C154,Completed,4.1
U483,C489,Enrolled,1.2
U120,C359,Completed,3.3
U738,C99,Viewed,2.7
U10,C145,Enrolled,2.3
U803,C316,Completed,1.2
U729,C446,Enrolled,1.3
U105,C468,Viewed,4.8
U357,C448,Completed,2.7
U582,C33,Completed,3.6
U564,C150,Enrolled,2.6
U447,C93,Enrolled,4.6
U526,C440,Enrolled,2.4
U269,C245,Enrolled,2.3
U851,C317,Completed,2.9
U142,C408,Enrolled,4.0
U921,C75,Enrolled,3.0
U609,C326,Completed,3.0
U726,C196,Enrolled,2.5
U956,C420,Viewed,2.0
U571,C157,Viewed,2.7
U943,C259,Enrolled,2.5
U449,C173,Enrolled,4.9
U785,C235,Completed,1.7
U855,C32,Enrolled,3.9
U360,C262,Completed,3.2
U983,C16,Completed,4.0
U798,C46,Viewed,2.7
U324,C350,Completed,2.8
U421,C361,Viewed,2.1
U542,C354,Enrolled,2.3
U336,C31,Viewed,4.0
U486,C371,Enrolled,4.9
U824,C212,Viewed,3.9
U515,C26,Viewed,3.3
U215,C50,Viewed,3.9
U222,C479,Viewed,4.3
U635,C262,Enrolled,2.4
U786,C440,Enrolled,1.7
U488,C375,Viewed,2.8
U540,C178,Completed,3.8
U75,C221,Enrolled,2.9
U146,C8,Enrolled,2.4
U584,C418,Completed,1.2
U58,C12,Viewed,4.3
U932,C213,Completed,2.0
U362,C424,Enrolled,4.9
U787,C126,Viewed,4.3
U537,C238,Viewed,2.9
U142,C137,Viewed,4.3
U677,C118,Viewed,2.3
U34,C222,Viewed,1.6
U938,C303,Viewed,4.4
U346,C141,Viewed,3.4
U96,C272,Completed,1.1
U996,C265,Completed,4.8
U165,C100,Enrolled,3.4
U296,C472,Completed,3.2
U76,C238,Completed,4.2
U979,C358,Viewed,1.7
U350,C216,Completed,1.2
U883,C335,Viewed,2.5
U716,C111,Completed,4.8
U277,C386,Enrolled,3.4
U374,C156,Enrolled,3.1
U563,C256,Completed,2.8
U816,C4,Completed,4.7
U534,C343,Viewed,4.6
U806,C39,Completed,4.2
U952,C187,Completed,3.2
U924,C357,Enrolled,4.8
U969,C374,Enrolled,3.2
U170,C269,Enrolled,1.1
U104,C366,Completed,1.4
U896,C30,Enrolled,3.7
U926,C267,Completed,2.5
U23,C228,Viewed,1.2
U306,C455,Enrolled,4.5
U105,C268,Viewed,1.4
U1,C387,Completed,2.1
U39,C491,Completed,4.5
U237,C265,Completed,2.9
U672,C186,Viewed,2.6
U830,C81,Viewed,4.5
U106,C71,Completed,4.7
U430,C252,Enrolled,4.0
U376,C262,Completed,1.8
U367,C388,Viewed,4.6
U912,C242,Enrolled,4.9
U517,C313,Viewed,2.6
U213,C496,Viewed,4.5
U798,C448,Viewed,3.0
U244,C24,Viewed,2.8
U80,C265,Completed,3.2
U537,C202,Completed,4.4
U691,C152,Viewed,1.6
U676,C78,Viewed,2.5
U505,C73,Viewed,1.7
U276,C497,Completed,1.9
U522,C484,Completed,2.5
U861,C86,Completed,2.9
U366,C286,Completed,4.9
U577,C231,Viewed,3.9
U622,C288,Enrolled,1.3
U296,C141,Enrolled,3.9
U381,C40,Completed,3.0
U406,C209,Enrolled,1.6
U702,C285,Viewed,2.1
U379,C392,Completed,1.8
U209,C398,Viewed,2.0
U310,C212,Completed,2.1
U941,C404,Viewed,1.4
U153,C153,Enrolled,2.7
U32,C431,Viewed,4.6
U344,C381,Enrolled,3.4
U593,C315,Viewed,3.8
U27,C76,Enrolled,4.9
U742,C322,Completed,3.3
U287,C127,Enrolled,4.0
U998,C397,Completed,2.9
U268,C123,Enrolled,2.5
U171,C257,Enrolled,1.2
U801,C86,Completed,4.6
U525,C36,Enrolled,2.2
U548,C213,Enrolled,4.9
U798,C43,Viewed,3.9
U447,C380,Viewed,2.3
U720,C98,Enrolled,2.7
U778,C186,Viewed,3.1
U473,C407,Completed,4.4
U652,C288,Enrolled,1.2
U209,C131,Enrolled,1.0
U259,C48,Enrolled,4.1
U92,C159,Viewed,1.3
U93,C259,Enrolled,4.6
U907,C281,Completed,2.7
U435,C349,Viewed,3.4
U383,C430,Enrolled,2.3
U865,C339,Viewed,2.1
U994,C345,Completed,3.1
U345,C234,Viewed,4.8
U312,C223,Completed,3.6
U171,C111,Viewed,1.1
U79,C240,Viewed,4.8
U104,C131,Viewed,3.9
U184,C38,Enrolled,4.6
U442,C342,Viewed,2.6
U72,C499,Viewed,3.3
U753,C43,Viewed,1.2
U39,C403,Viewed,1.7
U569,C134,Viewed,1.9
U802,C308,Viewed,4.0
U670,C288,Completed,1.2
U229,C306,Viewed,2.8
U962,C92,Completed,3.6
U561,C252,Enrolled,4.6
U40,C473,Viewed,2.3
U81,C204,Viewed,2.7
U417,C342,Completed,3.3
U417,C281,Viewed,2.7
U180,C16,Completed,3.8
U101,C419,Viewed,4.0
U283,C107,Enrolled,3.8
U167,C203,Completed,2.0
U226,C328,Enrolled,2.1
U55,C20,Enrolled,2.8
U602,C271,Completed,2.9
U898,C345,Enrolled,2.4
U942,C315,Enrolled,4.6
U763,C334,Completed,3.3
U614,C191,Enrolled,1.2
U964,C183,Viewed,3.1
U991,C480,Completed,2.6
U809,C91,Enrolled,3.1
U617,C37,Viewed,2.0
U38,C36,Viewed,4.0
U685,C372,Completed,3.4
U791,C444,Viewed,2.9
U316,C449,Viewed,1.5
U918,C287,Enrolled,3.6
U836,C53,Completed,2.4
U491,C381,Enrolled,4.1
U632,C357,Completed,3.9
U47,C32,Viewed,2.6
U978,C180,Viewed,2.9
U17,C82,Viewed,3.1
U801,C106,Enrolled,3.6
U165,C44,Viewed,1.2
U796,C297,Completed,2.1
U256,C215,Enrolled,4.2
U263,C299,Viewed,2.8
U80,C479,Completed,1.8
U817,C291,Viewed,3.8
U843,C458,Completed,1.8
U302,C64,Enrolled,2.6
U992,C375,Completed,1.2
U68,C425,Enrolled,4.4
U526,C277,Completed,4.6
U682,C119,Enrolled,1.3
U284,C255,Viewed,4.5
U67,C248,Viewed,2.4
U169,C488,Viewed,1.1
U244,C143,Enrolled,1.8
U363,C61,Viewed,2.0
U665,C126,Viewed,1.6
U416,C156,Enrolled,5.0
U335,C338,Enrolled,1.7
U977,C176,Enrolled,4.8
U338,C249,Viewed,2.8
U243,C158,Enrolled,3.4
U509,C264,Viewed,3.3
U929,C308,Viewed,2.5
U318,C41,Viewed,2.1
U678,C431,Viewed,2.0
U242,C117,Viewed,3.0
U529,C425,Completed,2.7
U450,C351,Enrolled,1.9
U327,C494,Viewed,4.0
U362,C137,Viewed,2.0
U470,C207,Enrolled,1.4
U970,C432,Enrolled,2.4
U977,C447,Completed,2.2
U362,C411,Enrolled,3.2
U569,C221,Enrolled,2.0
U762,C190,Enrolled,4.4
U685,C45,Enrolled,2.4
U864,C321,Completed,1.6
U467,C227,Completed,4.6
U791,C235,Viewed,2.2
U678,C340,Completed,2.2
U569,C80,Viewed,2.7
U359,C15,Completed,3.8
U902,C222,Completed,4.3
U542,C286,Completed,3.0
U455,C287,Enrolled,4.0
U130,C314,Enrolled,1.5
U649,C137,Completed,2.6
U378,C108,Viewed,1.5
U922,C333,Enrolled,1.7
U698,C461,Viewed,1.2
U33,C23,Viewed,2.3
U212,C360,Completed,1.5
U662,C442,Enrolled,2.8
U698,C105,Viewed,2.7
U480,C14,Completed,3.7
U712,C179,Viewed,2.6
U58,C198,Viewed,3.3
U391,C7,Completed,4.3
U716,C325,Enrolled,3.6
U655,C484,Enrolled,1.0
U28,C390,Completed,1.6
U405,C57,Completed,1.9
U746,C469,Viewed,4.9
U41,C329,Completed,4.9
U430,C366,Completed,1.4
U585,C17,Viewed,1.5
U194,C226,Completed,1.5
U820,C6,Viewed,4.5
U288,C112,Completed,3.7
U975,C351,Viewed,3.0
U840,C286,Completed,4.1
U836,C170,Viewed,1.4
U201,C325,Completed,1.3
U648,C256,Enrolled,2.5
U199,C344,Completed,3.9
U108,C434,Viewed,1.2
U457,C202,Completed,4.2
U172,C199,Enrolled,3.2
U861,C442,Completed,1.3
U293,C276,Viewed,4.3
U768,C244,Viewed,2.3
U840,C52,Viewed,3.6
U913,C352,Completed,5.0
U975,C111,Viewed,1.8
U218,C403,Viewed,3.3
U573,C135,Viewed,2.2
U786,C355,Enrolled,3.9
U131,C254,Enrolled,1.2
U906,C149,Completed,1.2
U172,C223,Enrolled,4.0
U425,C183,Viewed,3.4
U900,C392,Completed,2.3
U763,C174,Enrolled,2.2
U772,C300,Completed,1.2
U102,C433,Completed,3.1
U773,C464,Enrolled,3.5
U7,C349,Enrolled,4.4
U740,C397,Completed,3.8
U408,C291,Viewed,3.4
U250,C253,Enrolled,4.6
U570,C184,Viewed,1.5
U832,C167,Completed,2.3
U268,C314,Viewed,2.6
U649,C495,Viewed,1.2
U35,C417,Enrolled,4.6
U523,C427,Viewed,3.1
U262,C409,Enrolled,3.2
U157,C18,Completed,2.5
U322,C217,Viewed,1.4
U809,C104,Enrolled,1.9
U543,C30,Completed,3.0
U886,C445,Viewed,3.0
U772,C258,Viewed,3.3
U27,C99,Completed,3.4
U562,C202,Viewed,1.9
U584,C40,Viewed,2.7
U475,C300,Completed,3.3
U336,C325,Enrolled,1.1
U726,C293,Completed,1.5
U566,C294,Enrolled,5.0
U200,C418,Completed,1.3
U606,C225,Enrolled,1.1
U121,C65,Viewed,3.8
U996,C275,Viewed,4.9
U127,C113,Viewed,4.1
U424,C48,Enrolled,2.3
U743,C48,Enrolled,2.0
U346,C293,Completed,2.4
U746,C276,Enrolled,3.5
U122,C365,Enrolled,2.1
U549,C228,Viewed,2.4
U599,C235,Viewed,1.2
U844,C7,Completed,4.1
U105,C468,Enrolled,3.3
U839,C19,Viewed,2.1
U814,C159,Enrolled,3.6
U274,C266,Completed,2.9
U106,C424,Viewed,3.2
U373,C185,Completed,2.6
U522,C322,Enrolled,4.0
U985,C65,Completed,3.4
U2,C97,Viewed,4.6
U53,C292,Viewed,2.4
U826,C426,Viewed,3.0
U339,C60,Enrolled,2.3
U546,C497,Viewed,4.5
U228,C446,Completed,3.3
U198,C245,Completed,4.2
U732,C318,Enrolled,1.4
U153,C459,Viewed,3.9
U81,C71,Enrolled,4.2
U697,C133,Completed,1.9
U833,C102,Viewed,2.5
U766,C95,Viewed,2.6
U937,C494,Viewed,3.1
U741,C118,Completed,2.0
U903,C292,Completed,3.6
U849,C470,Enrolled,4.0
U897,C74,Enrolled,1.6
U312,C302,Completed,2.9
U996,C136,Enrolled,1.3
U716,C310,Completed,3.6
U599,C276,Enrolled,1.4
U818,C3,Enrolled,1.1
U960,C482,Viewed,1.6
U882,C421,Completed,5.0
U436,C460,Viewed,2.5
U982,C358,Viewed,4.8
U260,C218,Enrolled,4.7
U63,C284,Enrolled,4.1
U940,C308,Viewed,4.3
U983,C27,Completed,4.9
U974,C431,Enrolled,3.1
U119,C17,Viewed,2.2
U353,C162,Viewed,2.7
U958,C80,Viewed,2.7
U59,C216,Enrolled,4.1
U354,C186,Enrolled,1.3
U403,C152,Viewed,2.9
U578,C62,Enrolled,2.5
U265,C44,Enrolled,2.5
U815,C215,Enrolled,1.4
U786,C30,Enrolled,4.8
U503,C235,Viewed,1.9
U335,C327,Completed,2.4
U961,C410,Viewed,3.0
U136,C15,Viewed,2.7
U874,C464,Completed,4.1
U804,C34,Completed,1.1
U226,C17,Completed,3.3
U392,C404,Enrolled,3.8
U285,C344,Viewed,3.9
U11,C93,Completed,4.9
U113,C426,Completed,2.3
U416,C379,Completed,3.1
U807,C64,Enrolled,4.8
U100,C21,Viewed,3.1
U274,C328,Completed,1.2
U86,C277,Completed,4.0
U485,C150,Enrolled,3.1
U391,C91,Viewed,4.6
U542,C251,Completed,2.1
U521,C318,Enrolled,3.9
U860,C440,Viewed,4.4
U251,C259,Viewed,1.7
U322,C232,Completed,2.3
U847,C306,Completed,1.7
U432,C148,Viewed,2.4
U664,C470,Enrolled,2.4
U592,C267,Viewed,3.7
U158,C384,Completed,3.8
U428,C460,Enrolled,4.8
U936,C7,Viewed,4.4
U754,C180,Enrolled,2.9
U429,C86,Viewed,1.6
U764,C362,Completed,3.3
U358,C153,Viewed,1.5
U519,C475,Enrolled,1.2
U529,C150,Enrolled,1.1
U92,C347,Completed,3.1
U611,C440,Enrolled,1.9
U730,C82,Enrolled,4.6
U334,C440,Viewed,3.9
U843,C500,Viewed,3.8
U417,C312,Enrolled,3.3
U380,C217,Enrolled,2.4
U313,C275,Enrolled,4.8
U850,C176,Completed,4.5
U81,C221,Viewed,2.8
U561,C248,Enrolled,2.1
U475,C243,Enrolled,3.3
U946,C207,Completed,3.6
U565,C144,Viewed,1.1
U315,C424,Enrolled,2.1
U698,C331,Enrolled,3.5
U951,C229,Viewed,4.9
U514,C288,Completed,4.3
U286,C480,Completed,2.2
U572,C22,Completed,1.7
U526,C175,Viewed,1.2
U808,C454,Enrolled,2.8
U573,C207,Enrolled,4.1
U716,C232,Enrolled,4.7
U357,C143,Viewed,4.6
U736,C466,Completed,2.3
U516,C308,Enrolled,4.5
U701,C92,Enrolled,4.6
U288,C59,Enrolled,4.0
U678,C404,Completed,3.9
U283,C248,Enrolled,1.7
U221,C72,Completed,4.8
U83,C225,Completed,2.3
U508,C111,Completed,2.4
U146,C206,Completed,4.3
U967,C473,Enrolled,2.0
U93,C477,Viewed,4.7
U760,C407,Completed,2.2
U787,C233,Enrolled,1.2
U165,C452,Enrolled,4.9
U178,C328,Completed,1.1
U791,C84,Completed,2.8
U596,C301,Completed,1.4
U823,C106,Completed,4.6
U929,C320,Viewed,2.6
U217,C123,Viewed,1.5
U667,C495,Viewed,4.8
U385,C347,Completed,1.1
U640,C380,Enrolled,4.3
U792,C81,Enrolled,1.6
U185,C257,Viewed,1.1
U428,C12,Enrolled,2.4
U784,C286,Completed,2.4
U369,C124,Viewed,4.5
U893,C234,Viewed,1.2
U563,C464,Viewed,1.3
U917,C272,Enrolled,2.0
U94,C65,Viewed,3.5
U635,C312,Completed,1.2
U19,C167,Enrolled,3.7
U235,C485,Viewed,3.2
U56,C339,Completed,2.4
U358,C456,Enrolled,3.0
U62,C372,Viewed,3.8
U362,C5,Viewed,2.9
U686,C78,Completed,2.8
U46,C348,Enrolled,3.5
U406,C304,Completed,1.4
U934,C383,Enrolled,3.3
U925,C292,Viewed,4.3
U879,C305,Completed,2.8
U427,C223,Viewed,2.9
U930,C429,Enrolled,2.6
U615,C260,Enrolled,3.2
U86,C243,Viewed,4.8
U523,C324,Completed,1.4
U678,C367,Enrolled,2.7
U804,C368,Enrolled,1.7
U356,C173,Enrolled,4.0
U459,C266,Viewed,4.4
U853,C198,Completed,2.3
U164,C268,Completed,4.4
U226,C114,Viewed,3.3
U781,C311,Viewed,2.2
U71,C324,Completed,4.9
U944,C136,Viewed,1.5
U197,C63,Completed,3.4
U229,C473,Completed,1.4
U147,C286,Viewed,2.3
U976,C107,Completed,2.9
U533,C190,Enrolled,1.2
U200,C219,Completed,5.0
U729,C102,Completed,2.9
U804,C151,Completed,2.3
U107,C243,Viewed,4.4
U887,C35,Completed,4.0
U153,C371,Enrolled,1.7
U984,C242,Enrolled,1.2
U23,C29,Viewed,4.7
U588,C46,Completed,2.4
U43,C300,Completed,4.2
U537,C371,Enrolled,4.3
U887,C284,Completed,1.2
U689,C289,Completed,3.0
U964,C237,Completed,4.1
U981,C196,Enrolled,3.8
U164,C71,Completed,2.3
U437,C105,Completed,3.9
U180,C305,Enrolled,4.7
U139,C113,Enrolled,2.0
U31,C395,Enrolled,2.9
U905,C284,Viewed,1.1
U211,C238,Viewed,2.0
U170,C382,Enrolled,2.3
U785,C176,Viewed,3.8
U928,C8,Viewed,1.9
U267,C471,Enrolled,4.2
U202,C450,Viewed,3.3
U634,C377,Enrolled,1.8
U859,C485,Viewed,4.3
U668,C323,Viewed,2.5
U580,C354,Enrolled,1.0
U718,C90,Viewed,1.4
U91,C437,Viewed,2.1
U522,C319,Completed,4.0
U161,C21,Viewed,2.5
U178,C56,Enrolled,3.5
U216,C85,Viewed,3.6
